"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","TC-2 : My farms > Add farm > Add crop > Add Boundary","5","0","","0"
"0","","0","TC-12 : Dashboard > Add farm > Skip crop > Add Boundary > Edit farm > Edit Crop","7","0","","0"
"0","","0","TC-13 : Dashboard > Add farm > Add Crop > Skip Boundary > Three dots > Add boundary","7","0","","0"
"0","","0","TC-11 : Dashboard > Add farm > Add crop > Add Boundary","5","0","","0"
"0","","0","TC-5 : Plus Icon > Add Farm","3","0","","0"
"0","","0","TC-10 : Dashboard > Add farm","4","0","","0"
"0","","0","TC-6 : Three dots > Add crop > Add Boundary","4","0","","0"
"0","","0","TC-3 : Plus Icon > Add farm > Add crop > Add Boundary > Edit farm > Edit Crop","6","0","","0"
"0","","0","TC-9 : Add farm > cancel crop > Three dots > Add boundary","5","0","","0"
"0","","0","TC-8 : Add farm > Cancel crop > Three dots > Add crop > Skip Boundary","7","0","","0"
"0","","0","TC-7 : Add farm > cancel crop > Three dots > Skip Crop > Add boundary","7","0","","0"
"0","","0","TC-4 : Plus icon > Add farm > Skip crop > Add Boundary","4","0","","0"
"0","","0","TC-1 : Permissions > Login","2","0","","0"
